seance_id,film_id,salle_id,date_seance,creneau,jour_semaine,nb_spectateurs,taux_occupation
62,35,3,2024-07-03,14h00,Mercredi,29,49.61
63,70,1,2024-07-03,11h30,Mercredi,17,24.88
64,20,2,2024-07-03,09h00,Mercredi,19,24.58
65,54,4,2024-07-03,14h00,Mercredi,60,80.0
66,27,4,2024-07-03,16h30,Mercredi,44,58.71
67,99,1,2024-07-03,22h00,Mercredi,30,43.5
68,62,1,2024-07-03,14h00,Mercredi,15,21.29
69,97,4,2024-07-04,22h00,Jeudi,37,49.72
70,69,2,2024-07-04,16h30,Jeudi,24,30.64
71,29,3,2024-07-04,16h30,Jeudi,30,50.14
72,86,4,2024-07-04,20h30,Jeudi,59,79.07
73,22,4,2024-07-04,11h30,Jeudi,32,42.72
74,51,1,2024-07-04,09h00,Jeudi,44,63.21
75,83,4,2024-07-04,11h30,Jeudi,22,30.09
76,34,4,2024-07-04,14h00,Jeudi,29,39.36
77,28,4,2024-07-04,14h00,Jeudi,24,32.1
78,36,4,2024-07-04,14h00,Jeudi,42,56.05
79,11,4,2024-07-04,09h00,Jeudi,18,24.98
80,45,2,2024-07-04,20h30,Jeudi,48,61.08
81,9,1,2024-07-04,22h00,Jeudi,36,50.87
82,3,2,2024-07-04,11h30,Jeudi,29,36.75
83,17,4,2024-07-04,20h30,Jeudi,75,100.0
84,60,3,2024-07-04,22h00,Jeudi,26,44.2
85,48,2,2024-07-04,18h30,Jeudi,49,62.43
86,15,2,2024-07-04,14h00,Jeudi,34,42.57
87,14,1,2024-07-04,14h00,Jeudi,22,31.7
88,49,4,2024-07-04,20h30,Jeudi,39,52.98
89,26,1,2024-07-04,18h30,Jeudi,55,78.85
90,14,3,2024-07-04,22h00,Jeudi,15,26.3
91,77,1,2024-07-05,22h00,Vendredi,41,58.66
92,45,4,2024-07-05,20h30,Vendredi,51,68.08
93,48,1,2024-07-05,18h30,Vendredi,58,83.09
94,54,4,2024-07-05,09h00,Vendredi,51,68.67
95,56,3,2024-07-05,20h30,Vendredi,33,55.7
96,20,4,2024-07-05,11h30,Vendredi,16,21.85
97,94,3,2024-07-05,18h30,Vendredi,45,75.53
98,62,4,2024-07-05,16h30,Vendredi,26,34.67
99,94,3,2024-07-05,14h00,Vendredi,26,43.73
100,12,3,2024-07-05,16h30,Vendredi,33,55.29
101,32,4,2024-07-05,18h30,Vendredi,62,82.79
102,4,4,2024-07-05,22h00,Vendredi,28,37.87
103,42,2,2024-07-05,16h30,Vendredi,45,56.9
104,44,3,2024-07-05,18h30,Vendredi,60,100.0
105,90,3,2024-07-05,18h30,Vendredi,60,100.0
106,11,2,2024-07-05,20h30,Vendredi,77,96.9
107,53,4,2024-07-05,18h30,Vendredi,47,63.58
108,83,4,2024-07-05,16h30,Vendredi,28,37.8
109,102,1,2024-07-05,09h00,Vendredi,6,9.61
110,32,3,2024-07-05,20h30,Vendredi,60,100.0
111,75,3,2024-07-05,16h30,Vendredi,33,56.56
112,96,3,2024-07-05,14h00,Vendredi,15,26.61
113,90,4,2024-07-05,14h00,Vendredi,28,38.01
114,93,2,2024-07-05,14h00,Vendredi,30,38.38
115,16,2,2024-07-05,11h30,Vendredi,26,33.13
116,76,3,2024-07-06,09h00,Samedi,20,34.2
117,25,3,2024-07-06,11h30,Samedi,15,25.67
118,91,2,2024-07-06,14h00,Samedi,32,40.01
119,6,1,2024-07-06,18h30,Samedi,61,86.76
120,82,4,2024-07-06,09h00,Samedi,31,41.62
121,2,3,2024-07-06,16h30,Samedi,40,67.34
122,7,3,2024-07-06,22h00,Samedi,29,49.76
123,62,1,2024-07-06,22h00,Samedi,48,68.0
124,74,1,2024-07-06,11h30,Samedi,30,42.37
125,20,3,2024-07-06,09h00,Samedi,13,23.27
126,98,4,2024-07-06,18h30,Samedi,58,77.97
127,77,2,2024-07-06,22h00,Samedi,21,27.25
128,57,3,2024-07-06,22h00,Samedi,16,26.89
129,76,4,2024-07-06,14h00,Samedi,38,51.36
130,95,1,2024-07-06,22h00,Samedi,51,72.98
131,27,2,2024-07-06,14h00,Samedi,38,48.01
132,23,1,2024-07-06,11h30,Samedi,18,26.27
133,1,4,2024-07-06,16h30,Samedi,54,73.17
134,5,2,2024-07-06,14h00,Samedi,40,50.7
135,91,3,2024-07-06,20h30,Samedi,60,100.0
136,30,3,2024-07-06,22h00,Samedi,37,63.14
137,102,2,2024-07-06,16h30,Samedi,55,69.68
138,20,3,2024-07-06,22h00,Samedi,43,72.35
139,19,1,2024-07-06,09h00,Samedi,15,22.44
140,96,3,2024-07-06,16h30,Samedi,34,57.19
141,60,3,2024-07-07,20h30,Dimanche,23,38.37
142,70,4,2024-07-07,16h30,Dimanche,41,55.0
143,11,1,2024-07-07,16h30,Dimanche,51,73.22
144,4,1,2024-07-07,11h30,Dimanche,15,22.25
145,87,1,2024-07-07,22h00,Dimanche,26,37.34
146,6,2,2024-07-07,16h30,Dimanche,53,66.4
147,67,4,2024-07-07,14h00,Dimanche,31,41.84
148,82,4,2024-07-07,09h00,Dimanche,20,27.67
149,61,3,2024-07-07,16h30,Dimanche,24,40.57
150,21,3,2024-07-07,16h30,Dimanche,50,83.68
151,89,4,2024-07-07,14h00,Dimanche,26,35.46
152,98,1,2024-07-07,16h30,Dimanche,37,53.45
153,12,3,2024-07-07,14h00,Dimanche,27,46.37
154,52,1,2024-07-07,20h30,Dimanche,53,74.69
155,70,4,2024-07-07,16h30,Dimanche,47,63.17
156,80,4,2024-07-07,20h30,Dimanche,71,95.05
157,57,1,2024-07-07,11h30,Dimanche,65,92.82
158,37,4,2024-07-07,20h30,Dimanche,58,77.82
159,63,1,2024-07-07,09h00,Dimanche,17,25.01
160,31,2,2024-07-07,14h00,Dimanche,37,46.74
161,2,4,2024-07-08,09h00,Lundi,21,28.65
162,15,4,2024-07-08,09h00,Lundi,35,47.74
163,83,2,2024-07-08,16h30,Lundi,48,61.09
164,91,3,2024-07-08,16h30,Lundi,22,37.91
165,62,4,2024-07-08,11h30,Lundi,8,11.54
166,25,2,2024-07-08,22h00,Lundi,47,59.8
167,9,3,2024-07-08,22h00,Lundi,27,45.09
168,101,3,2024-07-08,22h00,Lundi,13,22.97
169,1,3,2024-07-08,20h30,Lundi,49,83.21
170,85,4,2024-07-08,22h00,Lundi,39,53.22
171,20,4,2024-07-08,18h30,Lundi,55,74.26
172,98,4,2024-07-08,16h30,Lundi,44,59.06
173,42,2,2024-07-08,20h30,Lundi,52,65.83
174,100,4,2024-07-08,09h00,Lundi,20,26.76
175,41,4,2024-07-08,20h30,Lundi,56,75.06
176,85,2,2024-07-08,16h30,Lundi,36,45.92
177,5,2,2024-07-08,18h30,Lundi,74,92.53
178,13,4,2024-07-08,09h00,Lundi,17,22.67
179,68,4,2024-07-08,09h00,Lundi,4,5.88
180,84,2,2024-07-08,09h00,Lundi,4,5.0
181,61,3,2024-07-08,14h00,Lundi,14,23.37
182,11,3,2024-07-08,22h00,Lundi,20,33.55
183,87,4,2024-07-08,14h00,Lundi,15,20.47
184,63,1,2024-07-08,18h30,Lundi,38,54.07
185,31,3,2024-07-09,11h30,Mardi,16,27.74
186,13,1,2024-07-09,16h30,Mardi,39,55.2
187,22,3,2024-07-09,09h00,Mardi,21,35.51
188,38,3,2024-07-09,14h00,Mardi,24,41.1
189,56,2,2024-07-09,11h30,Mardi,55,69.79
190,102,2,2024-07-09,11h30,Mardi,17,21.98
191,23,1,2024-07-09,18h30,Mardi,68,96.49
192,31,4,2024-07-09,18h30,Mardi,54,72.9
193,19,2,2024-07-09,16h30,Mardi,42,53.38
194,86,1,2024-07-09,22h00,Mardi,19,27.85
195,60,3,2024-07-09,20h30,Mardi,22,37.5
196,45,3,2024-07-09,20h30,Mardi,38,63.64
197,55,3,2024-07-09,16h30,Mardi,59,99.51
198,50,4,2024-07-09,09h00,Mardi,4,5.39
199,31,4,2024-07-09,18h30,Mardi,58,78.64
200,90,3,2024-07-09,09h00,Mardi,11,19.79
201,85,4,2024-07-09,14h00,Mardi,46,61.99
202,100,1,2024-07-09,18h30,Mardi,49,69.22
203,96,4,2024-07-09,22h00,Mardi,54,73.12
204,103,2,2024-07-09,18h30,Mardi,53,66.42
205,29,2,2024-07-10,18h30,Mercredi,67,84.92
206,99,2,2024-07-10,20h30,Mercredi,73,92.14
207,13,1,2024-07-10,14h00,Mercredi,39,55.75
208,47,2,2024-07-10,09h00,Mercredi,7,8.97
209,38,3,2024-07-10,20h30,Mercredi,34,58.07
210,101,3,2024-07-10,18h30,Mercredi,45,76.07
211,65,3,2024-07-10,22h00,Mercredi,36,61.6
212,62,3,2024-07-10,20h30,Mercredi,60,100.0
213,44,1,2024-07-10,16h30,Mercredi,38,54.43
214,29,4,2024-07-10,22h00,Mercredi,42,56.47
215,103,3,2024-07-10,09h00,Mercredi,7,12.51
216,69,1,2024-07-10,16h30,Mercredi,30,43.06
217,48,3,2024-07-10,18h30,Mercredi,39,65.45
218,48,1,2024-07-10,20h30,Mercredi,54,76.64
219,30,4,2024-07-10,09h00,Mercredi,3,5.0
220,42,2,2024-07-10,20h30,Mercredi,36,45.39
221,9,4,2024-07-10,20h30,Mercredi,63,84.04
222,18,1,2024-07-10,09h00,Mercredi,18,26.64
223,39,4,2024-07-10,09h00,Mercredi,24,32.54
224,18,4,2024-07-10,16h30,Mercredi,57,76.38
225,48,4,2024-07-10,18h30,Mercredi,58,77.66
226,54,1,2024-07-10,22h00,Mercredi,12,18.06
227,79,4,2024-07-11,14h00,Jeudi,44,59.3
228,57,4,2024-07-11,11h30,Jeudi,65,87.36
229,47,1,2024-07-11,20h30,Jeudi,33,47.62
230,83,3,2024-07-11,09h00,Jeudi,18,31.14
231,51,3,2024-07-11,11h30,Jeudi,60,100.0
232,59,1,2024-07-11,20h30,Jeudi,25,36.19
233,28,1,2024-07-11,09h00,Jeudi,12,17.05
234,17,2,2024-07-11,09h00,Jeudi,5,6.27
235,98,2,2024-07-11,18h30,Jeudi,58,73.14
236,43,2,2024-07-11,22h00,Jeudi,41,51.67
237,77,1,2024-07-11,14h00,Jeudi,37,52.22
238,17,3,2024-07-11,22h00,Jeudi,31,52.79
239,23,1,2024-07-11,20h30,Jeudi,70,99.26
240,46,2,2024-07-11,18h30,Jeudi,58,73.25
241,42,1,2024-07-11,11h30,Jeudi,15,21.4
242,54,1,2024-07-11,20h30,Jeudi,34,48.22
243,9,4,2024-07-11,16h30,Jeudi,52,70.52
244,14,4,2024-07-11,18h30,Jeudi,50,67.82
245,29,1,2024-07-11,20h30,Jeudi,70,100.0
246,67,3,2024-07-11,16h30,Jeudi,12,21.42
247,83,1,2024-07-11,09h00,Jeudi,25,35.26
248,55,1,2024-07-11,16h30,Jeudi,67,94.79
249,92,4,2024-07-11,09h00,Jeudi,12,16.53
250,9,2,2024-07-12,14h00,Vendredi,42,53.14
251,80,3,2024-07-12,16h30,Vendredi,49,81.71
252,59,4,2024-07-12,09h00,Vendredi,52,69.7
253,102,1,2024-07-12,22h00,Vendredi,16,23.94
254,71,2,2024-07-12,16h30,Vendredi,22,28.28
255,58,2,2024-07-12,16h30,Vendredi,76,95.61
256,54,1,2024-07-12,14h00,Vendredi,71,100.0
257,55,3,2024-07-12,20h30,Vendredi,26,44.45
258,88,4,2024-07-12,09h00,Vendredi,32,42.68
259,12,1,2024-07-12,09h00,Vendredi,6,8.96
260,48,2,2024-07-12,18h30,Vendredi,73,92.47
261,8,3,2024-07-12,20h30,Vendredi,60,100.0
262,86,4,2024-07-12,22h00,Vendredi,36,48.83
263,93,1,2024-07-12,14h00,Vendredi,15,21.22
264,74,2,2024-07-12,11h30,Vendredi,22,27.97
265,85,4,2024-07-12,11h30,Vendredi,25,33.39
266,72,3,2024-07-12,09h00,Vendredi,3,5.0
267,98,3,2024-07-12,18h30,Vendredi,45,75.34
268,72,1,2024-07-12,18h30,Vendredi,64,90.32
269,85,3,2024-07-12,09h00,Vendredi,12,20.87
270,40,3,2024-07-12,14h00,Vendredi,32,54.73
271,24,2,2024-07-13,18h30,Samedi,76,95.24
272,95,1,2024-07-13,09h00,Samedi,3,5.39
273,96,2,2024-07-13,16h30,Samedi,30,38.7
274,48,3,2024-07-13,20h30,Samedi,48,80.04
275,42,1,2024-07-13,09h00,Samedi,17,25.04
276,7,1,2024-07-13,14h00,Samedi,56,79.92
277,57,4,2024-07-13,16h30,Samedi,74,99.54
278,28,1,2024-07-13,14h00,Samedi,31,44.02
279,56,1,2024-07-13,14h00,Samedi,70,98.79
280,68,3,2024-07-13,09h00,Samedi,3,5.0
281,29,4,2024-07-13,18h30,Samedi,75,100.0
282,28,2,2024-07-13,22h00,Samedi,55,69.44
283,33,3,2024-07-13,14h00,Samedi,37,62.01
284,56,2,2024-07-13,11h30,Samedi,80,100.0
285,49,2,2024-07-13,18h30,Samedi,58,73.08
286,46,1,2024-07-13,16h30,Samedi,34,48.77
287,95,1,2024-07-13,16h30,Samedi,53,75.16
288,41,4,2024-07-13,18h30,Samedi,69,92.88
289,52,4,2024-07-13,14h00,Samedi,75,100.0
290,42,2,2024-07-13,22h00,Samedi,27,33.83
291,59,3,2024-07-14,09h00,Dimanche,39,66.27
292,56,4,2024-07-14,18h30,Dimanche,49,66.0
293,11,4,2024-07-14,22h00,Dimanche,31,42.16
294,43,2,2024-07-14,09h00,Dimanche,18,23.36
295,66,1,2024-07-14,18h30,Dimanche,37,53.16
296,45,3,2024-07-14,20h30,Dimanche,41,69.87
297,105,2,2024-07-14,11h30,Dimanche,27,34.87
298,23,2,2024-07-14,22h00,Dimanche,55,69.35
299,98,1,2024-07-14,11h30,Dimanche,33,46.89
300,60,4,2024-07-14,20h30,Dimanche,30,41.12
301,73,3,2024-07-14,22h00,Dimanche,29,48.79
302,57,1,2024-07-14,16h30,Dimanche,71,100.0
303,57,3,2024-07-14,22h00,Dimanche,16,26.87
304,65,1,2024-07-14,14h00,Dimanche,27,39.23
305,60,4,2024-07-14,09h00,Dimanche,69,92.72
306,10,1,2024-07-14,18h30,Dimanche,69,98.13
307,77,4,2024-07-14,16h30,Dimanche,31,42.11
308,95,1,2024-07-14,16h30,Dimanche,22,31.79
309,104,2,2024-07-14,14h00,Dimanche,24,30.61
310,8,4,2024-07-14,09h00,Dimanche,14,18.82
311,104,3,2024-07-14,20h30,Dimanche,60,100.0
312,6,2,2024-07-14,20h30,Dimanche,80,100.0
313,57,4,2024-07-14,18h30,Dimanche,42,56.82
314,48,3,2024-07-14,16h30,Dimanche,31,51.79
315,100,3,2024-07-15,20h30,Lundi,32,54.7
316,83,3,2024-07-15,09h00,Lundi,3,5.0
317,43,1,2024-07-15,18h30,Lundi,52,73.73
318,93,2,2024-07-15,14h00,Lundi,15,19.16
319,11,2,2024-07-15,14h00,Lundi,38,48.52
320,85,4,2024-07-15,11h30,Lundi,30,41.29
321,77,1,2024-07-15,14h00,Lundi,22,31.93
322,43,2,2024-07-15,20h30,Lundi,47,58.76
323,90,1,2024-07-15,20h30,Lundi,50,71.15
324,3,3,2024-07-15,14h00,Lundi,25,42.45
325,24,2,2024-07-15,14h00,Lundi,46,58.11
326,29,2,2024-07-15,11h30,Lundi,18,23.53
327,10,3,2024-07-15,22h00,Lundi,27,45.39
328,70,1,2024-07-15,20h30,Lundi,50,71.12
329,44,2,2024-07-15,18h30,Lundi,58,72.9
330,89,2,2024-07-15,20h30,Lundi,66,82.99
331,57,1,2024-07-15,16h30,Lundi,58,82.41
332,57,3,2024-07-15,22h00,Lundi,23,39.41
333,96,4,2024-07-15,11h30,Lundi,5,7.91
334,104,4,2024-07-15,22h00,Lundi,24,32.81
335,25,3,2024-07-15,20h30,Lundi,60,100.0
336,60,3,2024-07-15,22h00,Lundi,8,13.71
337,49,4,2024-07-15,11h30,Lundi,23,30.8
338,33,1,2024-07-16,20h30,Mardi,53,75.31
339,62,3,2024-07-16,18h30,Mardi,53,89.33
340,67,1,2024-07-16,14h00,Mardi,17,24.41
341,11,2,2024-07-16,14h00,Mardi,33,41.32
342,56,1,2024-07-16,11h30,Mardi,63,89.51
343,105,4,2024-07-16,14h00,Mardi,36,49.26
344,51,3,2024-07-16,11h30,Mardi,47,79.74
345,50,1,2024-07-16,14h00,Mardi,26,36.67
346,13,3,2024-07-16,22h00,Mardi,31,52.38
347,19,2,2024-07-16,09h00,Mardi,7,9.81
348,90,2,2024-07-16,22h00,Mardi,47,59.98
349,91,4,2024-07-16,16h30,Mardi,16,22.47
350,3,3,2024-07-16,11h30,Mardi,10,17.71
351,20,4,2024-07-16,09h00,Mardi,12,16.45
352,16,1,2024-07-16,11h30,Mardi,13,19.28
353,54,4,2024-07-16,09h00,Mardi,63,84.98
354,77,1,2024-07-16,20h30,Mardi,70,98.71
355,66,2,2024-07-16,20h30,Mardi,74,92.88
356,79,3,2024-07-16,11h30,Mardi,25,41.97
357,74,4,2024-07-16,11h30,Mardi,22,29.4
358,47,1,2024-07-16,18h30,Mardi,52,73.64
359,65,1,2024-07-17,16h30,Mercredi,33,47.51
360,50,3,2024-07-17,14h00,Mercredi,19,32.44
361,96,1,2024-07-17,14h00,Mercredi,21,30.64
362,94,1,2024-07-17,22h00,Mercredi,38,54.29
363,75,3,2024-07-17,11h30,Mercredi,27,46.5
364,105,2,2024-07-17,22h00,Mercredi,31,39.15
365,100,4,2024-07-17,20h30,Mercredi,48,64.46
366,18,1,2024-07-17,20h30,Mercredi,68,96.02
367,100,4,2024-07-17,09h00,Mercredi,10,14.03
368,26,1,2024-07-17,14h00,Mercredi,34,48.46
369,40,4,2024-07-17,22h00,Mercredi,14,19.16
370,97,2,2024-07-17,14h00,Mercredi,31,39.55
371,46,1,2024-07-17,22h00,Mercredi,16,22.65
372,103,3,2024-07-17,16h30,Mercredi,28,47.05
373,52,4,2024-07-17,16h30,Mercredi,68,90.9
374,89,4,2024-07-17,14h00,Mercredi,33,44.54
375,103,3,2024-07-17,22h00,Mercredi,27,45.95
376,56,2,2024-07-17,18h30,Mercredi,51,64.26
377,38,3,2024-07-17,09h00,Mercredi,16,27.46
378,40,4,2024-07-17,18h30,Mercredi,64,86.51
379,92,4,2024-07-17,11h30,Mercredi,10,13.87
380,6,3,2024-07-17,18h30,Mercredi,42,71.62
381,56,3,2024-07-17,20h30,Mercredi,42,70.94
382,10,4,2024-07-17,14h00,Mercredi,38,51.35
383,103,2,2024-07-18,09h00,Jeudi,17,22.24
384,101,4,2024-07-18,09h00,Jeudi,18,24.83
385,17,1,2024-07-18,11h30,Jeudi,21,30.04
386,50,1,2024-07-18,18h30,Jeudi,47,66.72
387,20,4,2024-07-18,14h00,Jeudi,23,30.87
388,74,2,2024-07-18,18h30,Jeudi,71,89.67
389,47,4,2024-07-18,14h00,Jeudi,22,29.63
390,15,1,2024-07-18,20h30,Jeudi,57,80.66
391,24,4,2024-07-18,18h30,Jeudi,54,73.31
392,34,3,2024-07-18,20h30,Jeudi,60,100.0
393,58,2,2024-07-18,18h30,Jeudi,41,52.07
394,63,2,2024-07-18,09h00,Jeudi,27,34.07
395,18,1,2024-07-18,16h30,Jeudi,50,70.86
396,12,3,2024-07-18,20h30,Jeudi,60,100.0
397,45,1,2024-07-18,18h30,Jeudi,38,53.6
398,21,2,2024-07-18,22h00,Jeudi,41,51.38
399,47,2,2024-07-18,09h00,Jeudi,26,33.17
400,31,4,2024-07-18,09h00,Jeudi,9,13.02
401,47,3,2024-07-18,16h30,Jeudi,31,53.03
402,79,1,2024-07-18,09h00,Jeudi,3,5.0
403,40,4,2024-07-18,20h30,Jeudi,46,62.15
404,99,4,2024-07-18,22h00,Jeudi,13,17.62
405,74,1,2024-07-18,11h30,Jeudi,34,48.95
406,58,4,2024-07-18,20h30,Jeudi,29,39.03
407,45,2,2024-07-19,22h00,Vendredi,26,33.48
408,24,2,2024-07-19,16h30,Vendredi,40,50.12
409,65,1,2024-07-19,22h00,Vendredi,40,56.76
410,22,2,2024-07-19,14h00,Vendredi,42,53.46
411,91,2,2024-07-19,14h00,Vendredi,35,43.97
412,37,1,2024-07-19,14h00,Vendredi,23,33.1
413,26,3,2024-07-19,11h30,Vendredi,11,18.53
414,12,2,2024-07-19,18h30,Vendredi,61,76.84
415,75,2,2024-07-19,11h30,Vendredi,19,24.16
416,78,3,2024-07-19,22h00,Vendredi,13,21.7
417,73,1,2024-07-19,22h00,Vendredi,29,41.04
418,83,3,2024-07-19,20h30,Vendredi,48,80.51
419,27,4,2024-07-19,18h30,Vendredi,62,82.75
420,81,3,2024-07-19,20h30,Vendredi,44,73.44
421,39,4,2024-07-19,11h30,Vendredi,22,29.9
422,39,4,2024-07-19,09h00,Vendredi,3,5.0
423,89,1,2024-07-19,11h30,Vendredi,10,14.17
424,27,3,2024-07-19,18h30,Vendredi,58,96.92
425,19,3,2024-07-19,22h00,Vendredi,35,58.78
426,45,4,2024-07-19,11h30,Vendredi,3,5.0
427,98,3,2024-07-19,18h30,Vendredi,38,63.7
428,60,1,2024-07-19,14h00,Vendredi,67,95.39
429,58,2,2024-07-19,11h30,Vendredi,79,99.95
430,50,4,2024-07-19,11h30,Vendredi,22,29.44
431,105,3,2024-07-20,18h30,Samedi,48,81.4
432,21,4,2024-07-20,18h30,Samedi,67,90.09
433,60,4,2024-07-20,14h00,Samedi,75,100.0
434,51,4,2024-07-20,11h30,Samedi,73,97.84
435,28,3,2024-07-20,09h00,Samedi,18,30.57
436,84,4,2024-07-20,14h00,Samedi,36,48.08
437,69,1,2024-07-20,22h00,Samedi,42,60.22
438,34,3,2024-07-20,22h00,Samedi,42,70.72
439,52,3,2024-07-20,09h00,Samedi,37,62.1
440,25,3,2024-07-20,18h30,Samedi,60,100.0
441,37,1,2024-07-20,16h30,Samedi,24,34.8
442,36,1,2024-07-20,11h30,Samedi,17,24.75
443,13,4,2024-07-20,14h00,Samedi,49,66.29
444,47,2,2024-07-20,11h30,Samedi,11,14.81
445,78,4,2024-07-20,18h30,Samedi,67,89.52
446,92,3,2024-07-20,22h00,Samedi,45,75.6
447,61,4,2024-07-20,11h30,Samedi,7,9.36
448,42,3,2024-07-20,11h30,Samedi,9,16.36
449,51,3,2024-07-20,18h30,Samedi,33,55.07
450,69,4,2024-07-20,20h30,Samedi,75,100.0
451,73,3,2024-07-20,16h30,Samedi,45,75.92
452,15,4,2024-07-21,18h30,Dimanche,59,79.66
453,40,1,2024-07-21,18h30,Dimanche,38,54.85
454,101,2,2024-07-21,20h30,Dimanche,72,90.78
455,7,4,2024-07-21,11h30,Dimanche,14,19.54
456,100,4,2024-07-21,11h30,Dimanche,20,27.89
457,88,2,2024-07-21,09h00,Dimanche,4,5.0
458,25,1,2024-07-21,16h30,Dimanche,42,59.99
459,41,4,2024-07-21,11h30,Dimanche,12,17.28
460,65,4,2024-07-21,22h00,Dimanche,42,57.01
461,95,1,2024-07-21,20h30,Dimanche,71,100.0
462,42,4,2024-07-21,18h30,Dimanche,69,92.04
463,49,3,2024-07-21,11h30,Dimanche,5,9.86
464,70,3,2024-07-21,20h30,Dimanche,58,97.21
465,99,3,2024-07-21,18h30,Dimanche,26,44.81
466,36,3,2024-07-21,11h30,Dimanche,16,27.19
467,39,3,2024-07-21,20h30,Dimanche,45,76.47
468,41,4,2024-07-21,14h00,Dimanche,42,56.58
469,72,3,2024-07-21,14h00,Dimanche,28,48.2
470,49,4,2024-07-21,22h00,Dimanche,32,43.3
471,45,2,2024-07-21,14h00,Dimanche,53,67.38
472,11,3,2024-07-21,16h30,Dimanche,49,82.62
473,84,3,2024-07-21,20h30,Dimanche,46,77.81
474,69,3,2024-07-21,18h30,Dimanche,48,80.26
475,90,3,2024-07-21,11h30,Dimanche,25,42.76
476,31,2,2024-07-21,09h00,Dimanche,23,29.0
477,68,2,2024-07-22,20h30,Lundi,68,85.59
478,43,4,2024-07-22,09h00,Lundi,13,17.48
479,88,2,2024-07-22,09h00,Lundi,35,44.32
480,21,4,2024-07-22,20h30,Lundi,65,87.67
481,61,4,2024-07-22,20h30,Lundi,70,94.66
482,42,3,2024-07-22,20h30,Lundi,56,94.38
483,8,1,2024-07-22,20h30,Lundi,53,74.73
484,93,1,2024-07-22,11h30,Lundi,8,11.33
485,54,2,2024-07-22,09h00,Lundi,61,77.07
486,64,2,2024-07-22,20h30,Lundi,67,84.79
